applicant_id,business_type,years_in_operation,annual_revenue,credit_score,existing_loans,repayment_history,monthly_cashflow,loan_amount_requested,collateral_value,debt_to_income_ratio,default_flag
1,Services,15,53096.45449772592,682,1,Good,946.6315142220813,20301.50905905331,18537.270084149568,0.606987669216339,0
2,Manufacturing,18,9456.622050696189,810,2,Poor,163.46190668388593,2631.223876028865,4343.24573764665,0.490355136808978,1
3,Services,18,8781.838483992327,676,4,Average,159.17683771222454,3234.9246656354658,5415.125262553734,0.7002875770235902,1
4,Services,20,25889.26579568893,844,1,Good,227.05428770059464,12293.999243225779,15054.510121627518,0.8982473534722566,1
5,Manufacturing,9,43901.0017805858,372,2,Good,511.1391247555044,16724.52902077951,17959.512519218526,0.16592129285760937,0
6,Manufacturing,24,8564.619367889261,803,4,Average,134.70344030366766,3602.54822012643,5245.7946015684465,0.6212662400402335,1
7,Services,2,28130.617196366482,651,3,Good,300.37290467953505,9458.471038862677,12642.178043393553,0.5448864681102732,0
8,Trading,8,31213.304961683436,624,3,Average,166.45648317731,14301.931818795087,21465.529188861427,0.5881972624183226,1
9,Services,20,6402.883468162378,687,3,Good,41.239879018879925,3520.17412639202,3375.929001339152,0.11825576674832315,0
10,Services,2,35564.41373631805,539,3,Good,502.1182529484597,4464.244371316329,7511.199809673856,0.86453908814464,1
11,Services,11,37270.72809266256,373,3,Good,388.3412329903271,5726.582719427643,5584.072220406598,0.16831927966457833,1
12,Services,26,18268.410701070254,330,0,Good,77.7564855465533,8089.335512179829,9125.45730551764,0.3459789370532416,0
13,Manufacturing,7,46695.72124883484,778,2,Good,791.3792590381947,13488.162169848472,9423.28993442979,0.3386381742395546,0
14,Services,6,43559.07512421004,313,4,Average,484.01664030010704,10489.426860883794,18703.214348294867,0.686490800213608,1
15,Trading,10,23432.301499673657,615,4,Average,220.17353121374447,4435.655981920671,6504.493036587698,0.6367496173278593,1
16,Manufacturing,5,16799.97648696645,367,1,Poor,269.78499254666144,6490.135641367429,5535.635209995978,0.14938025744588987,1
17,Trading,11,12287.076088498674,837,2,Poor,144.39542849262295,3363.786102769912,5979.389080672633,0.21976707685757654,1
18,Trading,1,21535.58353947684,590,0,Good,339.1248214502005,7623.174756699382,11870.727779069739,0.35502782416920486,0
19,Trading,2,31003.499116478008,323,0,Good,136.00102524274902,17959.726007656336,20892.017356051976,0.6632831779099164,1
20,Trading,24,18133.092872415407,714,2,Average,78.40148369454538,8688.178107744543,17243.98527927022,0.8433881402516903,1
21,Manufacturing,1,5892.875729754997,335,3,Good,79.54419048661731,2934.507352784681,2951.5704128695297,0.35237940225982733,1
22,Manufacturing,19,47156.556601299395,400,3,Poor,968.4479422816481,7644.028382907052,4963.45376191392,0.5204592347498711,1
23,Trading,2,24689.51486522107,845,2,Good,214.9457798423413,6480.754692442175,10370.429600497362,0.39808838840675853,0
24,Trading,21,17539.75507433796,338,4,Poor,272.71207505218973,2685.647587177699,4392.5741841681765,0.5618857048026092,1
25,Manufacturing,20,36838.36222891116,510,3,Poor,259.2546053223168,21523.19864853981,12665.27586007284,0.602379629699044,1
26,Manufacturing,29,54983.210715195324,891,1,Good,514.5957791155924,24252.75376660223,41936.132179709624,0.5146358833713283,0
27,Manufacturing,23,4100.454328191545,471,0,Good,22.420935077000564,449.4791689401883,747.893904673168,0.4112179102164832,1
28,Services,21,28582.736336439226,741,3,Good,538.6860457015906,9653.88810805344,18288.273092911677,0.8038263709430855,1
29,Services,24,9358.220870942538,358,4,Good,87.41161646786026,2168.887643093445,1470.1234120535175,0.7415340878848901,1
30,Services,4,29716.75490913741,709,3,Average,237.9650609923103,10994.587912975234,15405.774217700387,0.8987244574497111,1
31,Trading,12,23783.713564991034,833,3,Good,388.7068150107992,4502.942977114492,3733.54227779259,0.43015430156167433,0
32,Services,22,32255.24407121803,664,0,Good,241.61336524371094,4142.468270678286,4553.24756007665,0.1309947935534563,0
33,Trading,20,16324.975139632677,666,1,Poor,133.39555119517587,4270.430104028941,3833.292837365991,0.6210964762758593,1
34,Trading,18,7158.501375206156,643,1,Poor,42.189373968757906,1773.544166702092,2082.0460611039507,0.7267414844725644,0
35,Services,1,16810.838148050883,595,4,Good,339.82322266320904,7707.46320528783,5158.716824722534,0.8494274346179471,1
36,Trading,1,28116.40748218225,640,2,Poor,233.19642906779453,9482.945294682415,9058.804083017272,0.10829117375731673,0
37,Services,24,40507.215479153885,822,2,Good,840.9725303515105,9951.160600266408,6034.165788123258,0.8036656086678657,0
